NO,Result,Reason
AB_2911,Yes,"Study data, code, or resources available at repository or project URL"
AB_2912,Yes,"Study data, code, or resources available at repository or project URL"
AB_2913,Yes,"Study data, code, or resources available at repository or project URL"
AB_2914,Yes,"Study data, code, or resources available at repository or project URL"
AB_2915,Yes,"Study data, code, or resources available at repository or project URL"
AB_2916,Yes,"Study data, code, or resources available at repository or project URL"
AB_2917,Yes,"Study data, code, or resources available at repository or project URL"
AB_2918,Yes,"Study data, code, or resources available at repository or project URL"
AB_2919,Yes,"Study data, code, or resources available at repository or project URL"
AB_2920,Yes,"Study data, code, or resources available at repository or project URL"
